_PAD
_UNK
_SOS
_EOS
[other_atom]
MolStart
drd2	119042
plogp	56590
qed	90293
C	4708460
(	2177393
F	220053
)	2177393
1	1611398
2	1221190
3	630918
c	6075128
4	236020
O	1143922
=	708691
S	97928
N	1015550
-	110734
n	473852
#	41443
[N+]	8718
[O-]	16600
o	51272
Br	23079
Cl	141434
s	56488
5	59520
[nH]	51330
[NH2+]	9390
[n+]	870
[NH3+]	3623
6	7490
[NH+]	21968
[S+]	1063
7	708
8	34
[N-]	704
[nH+]	3307
I	536
[S-]	218
[O]	6
P	71
[n-]	139
[NH-]	9
[CH-]	2
[SH+]	2
[O+]	2
[s+]	2
[S@@]	18
[C@H]	2736
[C@@H]	2778
[C@@]	158
[C@]	206
/	384
\	54
[S@]	30
[SH]	6
[OH+]	2
